"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","flesh_color_25center1_8","flesh_color_25outer1_8","flesh_color_50inner1_8","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_GM3426-5_35",2,35,4,6,"check"," (Operator: lizbethpino, Time: )","GM3426-5","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,4,24.0812059859155,NA,80,6.51041666666667,6,90,6.51041666666667,1.56778684804137,5,3,1,10,10,10,2,210,30,5,3,1,2,5,7,NA,3,4770,226,0,9,3,1,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_SM5495-11_39",2,39,5,7,"test"," (Operator: lizbethpino, Time: )","SM5495-11","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,3,25.6025845564773,NA,130,6.77083333333333,6,90,6.77083333333333,1.73350832934482,5.2,4,1,15,10,10,2,240,30,5,3,1,2,8,7,NA,3,4980,279,0,9,2,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_SM5548-1_24",2,24,1,8,"test"," (Operator: lizbethpino, Time: )","SM5548-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,3,22.5592124814264,NA,130,1.04166666666667,6,10,1.04166666666667,0.234991796681525,0.8,2,2,0,8,10,4,200,40,1,3,1,4,8,6,NA,3,700,27,0,1,2,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_SM5564-6_34",2,34,4,7,"test"," (Operator: lizbethpino, Time: )","SM5564-6","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,27.1202556158017,NA,200,1.69270833333333,6,90,1.69270833333333,0.459066826829977,1.3,4,2,2,10,10,2,200,30,4,3,1,4,8,6,NA,3,1380,89,0,9,1,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_SM5564-8_32",2,32,3,8,"test"," (Operator: lizbethpino, Time: )","SM5564-8","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,4,23.6794985250737,NA,120,0.911458333333333,6,40,0.911458333333333,0.215828762598328,0.7,3,2,0,8,10,3,210,30,3,3,1,4,8,7,NA,3,710,32,0,4,2,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_SM5566-4_25",2,25,2,8,"test"," (Operator: lizbethpino, Time: )","SM5566-4","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,26.2013996426444,NA,190,5.20833333333333,6,40,5.20833333333333,1.36465623138773,4,3,1,10,10,10,2,190,30,3,3,1,3,5,8,NA,3,3570,212,0,4,2,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_SM5628-5_33",2,33,4,8,"test"," (Operator: lizbethpino, Time: )","SM5628-5","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,2,19.5367867867868,NA,140,0.78125,6,50,0.78125,0.152631146771772,0.6,3,1,0,10,10,2,210,30,2,3,3,4,8,5,NA,2,680,14,0,5,2,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia","Caiseli,Caiselli,CAISELLI","202241BCEPR_stom_rep2_SMB2446-2_37",2,37,5,5,"check"," (Operator: lizbethpino, Time: )","SMB2446-2_is_Caiseli","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,34.1076135351736,NA,150,11.71875,6,100,11.71875,3.99698596115316,9,4,1,14,10,10,2,150,30,6,3,1,2,1,NA,NA,3,5000,508,1,10,1,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia","Tai8","202241BCEPR_stom_rep2_TAI8_21",2,21,1,5,"check"," (Operator: lizbethpino, Time: )","TAI8_is_TAI","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,30.2199016393442,NA,170,11.71875,6,100,11.71875,3.54139472336065,9,4,1,16,10,10,2,170,30,6,1,1,1,4,NA,NA,3,4980,405,1,10,1,2,1,NA
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_CG1141-1_16",1,16,4,1,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,35.5508225616921,NA,170,38.9880952380952,6,90,38.9880952380952,13.8605885582788,19.65,5,1,29,NA,10,3,NA,NA,5,1,NA,1,NA,NA,NA,NA,4775,520,0,9,NA,NA,1,1
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_CM4919-1_2",1,2,1,2,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,34.2756450351837,NA,230,19.2460317460317,6,100,19.2460317460317,6.59670152462861,9.7,4,1,14,NA,10,2,NA,NA,6,3,NA,3,NA,NA,NA,NA,4275,438,0,10,NA,NA,1,4
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_COL2215_4",1,4,1,4,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,34.8050446998723,NA,100,28.2738095238095,6,100,28.2738095238095,9.84071204311865,14.25,5,1,14,NA,10,2,NA,NA,6,3,NA,1,NA,NA,NA,NA,3500,368,2,10,NA,NA,1,1
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_COL2215_7",1,7,2,2,"check","CBB 3marchitez (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,35.8943238213399,NA,270,23.2142857142857,6,90,23.2142857142857,8.33261088709676,11.7,4,1,9,NA,10,NA,NA,NA,6,3,NA,2,NA,NA,NA,NA,3625,401,0,9,NA,NA,1,1
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_GM11585-9_20",1,20,5,4,"test"," (Operator: lizbethpino, Time: )","GM11585-9","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,26.5109467455621,NA,320,20.0396825396825,6,90,20.0396825396825,5.31270956607494,10.1,5,2,14,NA,10,2,NA,NA,5,3,NA,2,NA,NA,NA,NA,3600,220,0,9,NA,NA,1,8
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_GM11598A-7_19",1,19,5,3,"test"," (Operator: lizbethpino, Time: )","GM11598A-7","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,25.1681132075472,NA,190,6.74603174603175,6,60,6.74603174603174,1.69784890685834,3.4,5,2,1,NA,10,2,NA,NA,3,3,NA,3,NA,NA,NA,NA,2800,150,0,6,NA,NA,1,8
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_GM11601-5_10",1,10,3,2,"test"," (Operator: lizbethpino, Time: )","GM11601-5","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,35.4468172173385,NA,130,27.5793650793651,6,60,27.5793650793651,9.77600712938502,13.9,5,1,16,NA,10,2,NA,NA,4,3,NA,2,NA,NA,NA,NA,3700,401,0,6,NA,NA,1,4
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_GM11607-3_15",1,15,4,2,"test"," (Operator: lizbethpino, Time: )","GM11607-3","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,32.0795323830958,NA,90,32.3412698412698,6,80,32.3412698412698,10.3749281318346,16.3,5,2,19,NA,10,3,NA,NA,5,3,NA,2,NA,NA,NA,NA,4400,401,0,8,NA,NA,1,7
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_GM11775-6_1",1,1,1,1,"test"," (Operator: lizbethpino, Time: )","GM11775-6","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,26.2122563496751,NA,130,13.8888888888889,6,80,13.8888888888889,3.6405911596771,7,4,2,10,NA,10,2,NA,NA,5,3,NA,3,NA,NA,NA,NA,3600,214,0,8,NA,NA,1,6
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_GM11781-1_6",1,6,2,3,"test"," (Operator: lizbethpino, Time: )","GM11781-1","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,30.4055115273775,NA,340,15.4761904761905,6,80,15.4761904761905,4.70561487923699,7.8,4,2,12,NA,10,3,NA,NA,4,3,NA,2,NA,NA,NA,NA,3025,249,1,8,NA,NA,1,5
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_GM11801-1_3",1,3,1,3,"test"," (Operator: lizbethpino, Time: )","GM11801-1","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,26.4273351648351,NA,100,17.0634920634921,6,90,17.0634920634921,4.50942623844408,8.6,4,1,16,NA,10,3,NA,NA,5,3,NA,2,NA,NA,NA,NA,3875,235,0,9,NA,NA,1,6
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_GM3426-5_13",1,13,4,4,"check"," (Operator: lizbethpino, Time: )","GM3426-5","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,30.9226130653266,NA,340,4.56349206349206,6,30,4.56349206349206,1.41115099306054,2.3,5,1,3,NA,10,1,NA,NA,1,3,NA,3,NA,NA,NA,NA,2175,185,0,3,NA,NA,1,6
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_SM5495-11_5",1,5,2,4,"test"," (Operator: lizbethpino, Time: )","SM5495-11","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,27.1184482123111,NA,140,10.1190476190476,6,60,10.1190476190476,2.74412868815053,5.1,3,1,5,NA,10,1,NA,NA,4,3,NA,3,NA,NA,NA,NA,2900,187,0,6,NA,NA,1,8
2022,"202240BCEPR_cere","202240BCEPR_cere",2.4,3.5,"2022-June-24","2023-May-10","Cerete. Cordoba, Colombia",NA,"202240BCEPR_cere_rep1_SM5548-1_12",1,12,3,4,"test"," (Operator: lizbethpino, Time: )","SM5548-1","test",8.916666667,-76,101,"Cordoba","Colombia","Subhumid lowland tropics","cere",NA,NA,NA,NA,NA,31.3698838896952,NA,110,25.9920634920635,6,70,25.9920634920635,8.15368013799617,13.1,5,2,20,NA,10,3,NA,NA,4,3,NA,2,NA,NA,NA,NA,3775,330,1,7,NA,NA,1,4
